a, b, c, d, e, f
0.0071,0.3090,0.1361,0.1550,0.3511,0.6137
0.0172,0.3213,0.0452,0.1330,0.3728,0.6027
0.0211,0.2746,0.0674,0.1438,0.3306,0.5978
0.0464,0.3842,0.1521,0.1963,0.4300,0.6389
0.0436,0.4429,0.1516,0.1765,0.4727,0.6463
0.0558,0.5308,0.2518,0.3441,0.6464,0.7042
0.0691,0.3362,0.0833,0.1513,0.4043,0.6309
0.0723,0.5512,0.2439,0.3880,0.6429,0.7008
0.0912,0.2629,0.0275,0.0428,0.2994,0.5694
0.0853,0.2258,0.0096,0.0794,0.2414,0.5719
0.0956,0.1481,0.0135,0.0803,0.2201,0.5624
0.1204,0.3541,0.0839,0.1669,0.4351,0.6339
0.1394,0.4039,0.1444,0.2144,0.4432,0.6307
0.1475,0.4891,0.2079,0.2101,0.5583,0.6489
0.1529,0.4905,0.2399,0.2208,0.5869,0.6615
0.1707,0.6756,0.3836,0.4367,0.7180,0.7204
0.2164,0.3465,0.1385,0.1552,0.3974,0.6204
0.2380,0.4497,0.1797,0.2409,0.5281,0.6701
0.2546,0.6311,0.3150,0.3411,0.7383,0.7014
0.2572,0.2844,0.0768,0.0856,0.3534,0.6004
0.2974,0.4859,0.1967,0.2823,0.5623,0.6721
0.3204,0.5821,0.2762,0.3663,0.6756,0.7084
0.3305,0.3967,0.1043,0.1646,0.4774,0.6358
0.3549,0.5009,0.1727,0.2341,0.6014,0.6680
0.4017,0.7134,0.4136,0.4295,0.8687,0.7705
0.4360,0.6639,0.4199,0.4091,0.8721,0.7429
0.4639,0.4559,0.1877,0.2637,0.5953,0.6756
0.4793,0.5987,0.3063,0.3657,0.6973,0.7176
0.5229,0.4288,0.1985,0.2329,0.5500,0.6476
0.5627,0.4856,0.1419,0.2474,0.5482,0.6584
0.5866,0.8079,0.5499,0.5885,0.8771,0.7914
0.6091,0.7134,0.4340,0.4291,0.8763,0.7702
0.6209,0.6755,0.4460,0.5109,0.8115,0.7491
0.6514,0.5036,0.2149,0.3211,0.6215,0.6898
0.6560,0.5654,0.2747,0.3662,0.7064,0.7278
0.7555,0.9154,0.6802,0.6764,0.9643,0.8776
0.7885,0.6863,0.4070,0.4455,0.8375,0.7578
0.8092,0.6932,0.3804,0.4152,0.8214,0.7533
0.8116,0.6510,0.3311,0.4918,0.7611,0.7329
0.8184,0.5573,0.2527,0.3183,0.6681,0.6955
0.8581,0.6902,0.4161,0.4515,0.8219,0.7580
0.8725,0.7796,0.4658,0.4909,0.9122,0.7761
0.8741,0.8468,0.5735,0.6148,1.0000,0.8299
0.9014,0.9363,0.6448,0.6822,1.0000,0.8345
0.9053,0.8219,0.5406,0.5724,0.9569,0.8106
0.9055,0.9210,0.6479,0.6991,1.0000,0.8362
0.9086,0.7870,0.5292,0.5894,0.9448,0.8076
0.9135,0.8779,0.5912,0.6277,1.0000,0.8261
0.9177,0.8962,0.6233,0.6659,1.0000,0.8301
0.9377,0.9073,0.6092,0.6521,1.0000,0.8300
