a,b,c,d,e,f
1.000,0.921,0.642,0.642,0.993,0.872
0.988,0.830,0.624,0.637,0.993,0.878
0.982,0.923,0.616,0.611,0.993,0.876
0.961,0.953,0.660,0.688,1.001,0.898
0.952,0.847,0.502,0.504,0.920,0.829
0.936,0.580,0.165,0.174,0.570,0.693
0.912,0.828,0.486,0.489,0.893,0.823
0.876,0.856,0.518,0.515,0.923,0.829
0.797,0.844,0.479,0.468,0.879,0.807
0.804,0.626,0.220,0.216,0.664,0.709
0.788,0.508,0.137,0.135,0.534,0.670
0.777,0.676,0.297,0.287,0.703,0.733
0.755,0.835,0.500,0.501,0.904,0.821
0.729,0.629,0.229,0.225,0.655,0.717
0.427,0.696,0.288,0.294,0.725,0.741
0.416,0.644,0.247,0.239,0.682,0.724
0.289,0.519,0.139,0.144,0.561,0.680
0.286,0.520,0.116,0.122,0.561,0.677
0.239,0.713,0.310,0.311,0.773,0.751
0.227,0.471,0.077,0.082,0.509,0.659
0.226,0.686,0.310,0.305,0.720,0.741
0.221,0.679,0.287,0.273,0.725,0.734
0.161,0.629,0.245,0.222,0.677,0.719
0.137,0.482,0.081,0.101,0.506,0.661
0.105,0.478,0.086,0.085,0.503,0.657
0.112,0.558,0.159,0.160,0.595,0.692
0.033,0.530,0.150,0.127,0.571,0.680
0.034,0.491,0.132,0.106,0.512,0.662
0.016,0.641,0.241,0.256,0.671,0.719
0.000,0.388,0.001,0.000,0.413,0.625
