a,b,c,d,e,f
8.66,0.305,25.355,1.179,0.305,1.261
0.01,0.413,22.525,1.083,0.413,1.145
1.39,0.282,25.524,1.198,0.282,1.285
4.5,0.274,26.2,1.205,0.274,1.293
2.31,0.264,25.844,1.213,0.264,1.304
5.2,0.318,25.383,1.168,0.318,1.247
8.95,0.307,24.626,1.177,0.307,1.259
3.57,0.443,23.058,1.056,0.443,1.112
1.99,0.306,25.415,1.178,0.306,1.26
9.15,0.443,23.058,1.056,0.443,1.112
5.61,0.289,26.187,1.193,0.289,1.278
1.11,0.367,24.48,1.125,0.367,1.195
5.4,0.608,18.451,0.885,0.608,0.917
1.05,0.316,25.846,1.17,0.316,1.249
4.27,0.206,26.353,1.26,0.206,1.363
1.2,0.394,23.915,1.101,0.394,1.166
4.97,0.38,23.847,1.114,0.38,1.181
0.51,0.317,25.242,1.169,0.317,1.248
5.53,0.294,25.85,1.189,0.294,1.272
3.99,0.328,25.256,1.159,0.328,1.237
0.17,0.283,26.425,1.197,0.283,1.284
8.38,0.306,25.415,1.178,0.306,1.26
1.75,0.236,26.058,1.236,0.236,1.333
6.33,0.264,25.844,1.213,0.264,1.304
1.62,0.246,26.156,1.228,0.246,1.322
2.84,0.608,18.451,0.885,0.608,0.917
3.25,0.294,25.551,1.188,0.294,1.272
6.36,0.246,26.156,1.228,0.246,1.322
5.03,0.36,23.981,1.132,0.36,1.203
2.8,0.199,27.665,1.266,0.199,1.37
8.53,0.283,26.425,1.197,0.283,1.284
6.96,0.443,23.058,1.056,0.443,1.112
8.77,0.236,26.058,1.236,0.236,1.333
8.1,0.289,26.187,1.193,0.289,1.278
0.51,0.297,25.71,1.186,0.297,1.269
9.82,0.404,23.663,1.091,0.404,1.155
8.28,0.348,24.56,1.142,0.348,1.215
5.16,0.282,25.524,1.198,0.282,1.285
1.84,0.317,25.242,1.169,0.317,1.248
5.49,0.289,26.187,1.193,0.289,1.278
5.66,0.274,26.2,1.205,0.274,1.293
3.11,0.205,27.019,1.261,0.205,1.364
9.49,0.675,17.529,0.806,0.675,0.83
6.59,0.348,24.56,1.142,0.348,1.215
6.43,0.348,24.56,1.142,0.348,1.215
1.96,0.266,26.286,1.212,0.266,1.302
